Day,Old Testament,Psalms,Proverbs,New Testament
86,jdg 6:11-7:25,Ps 73:12-23,Pr 15:16-20,Lk 3:21-38
87,jdg 8; 9,Ps 74,Pr 15:21-26,Lk 4:1-30
88,jdg 10; 11,Ps 75,Pr 15:27-32,Lk 4:31-44
89,jdg 12-14,Ps 76:1-10,Pr 15:33-38,Lk 5:1-16
90,jdg 15-17,Ps 76:11-21,Pr 16:1-5,Lk 5:17-39
91,jdg 18; 19,Ps 77:1-17,Pr 16:6-10,Lk 6:1-26
93,rut 1-4,Ps 77:38-55,Pr 16:16-20,Lk 7:1-17
94,kg1 1:1-2:17,Ps 77:56-72,Pr 16:21-25,Lk 7:18-50
95,kg1 2:18-4:22,Ps 78,Pr 16:26-31,Lk 8:1-25
96,kg1 5-7,Ps 79,Pr 17:1-5,Lk 8:26-56
97,kg1 8:1-10 :16,Ps 80,Pr 17:6-10,Lk 9:1-17
98,kg1 10:17-13:22,Ps 81,Pr 17:11-15,Lk 9:18-36
99,kg1 14:1-15:9,Ps 82,Pr 17:16-20,Lk 9:37-62
100,kg1 15:10-17:30,Ps 83,Pr 17:21-25,Lk 10:1-24
101,kg1 18-21:1,Ps 84,Pr 17:26-30,Lk 10:25-42
102,kg1 21:2-23:28,Ps 85,Pr 18:1-5,Lk 11:1-28
103,kg1 24; 25,Ps 86,Pr 18:6-11,Lk 11:29-54
104,kg1 26-28,Ps 87,Pr 18:11-17,Lk 12:1-34
105,kg1 29-31,Ps 88:1-19,Pr 18:18-23,Lk 12:35-59
106,kg2 1; 2,Ps 88:20-38,Pr 19:1-6,Lk 13:1-21
107,kg2 3; 4,Ps 88:39-53,Pr 19:7-12,Lk 13:22-35
108,kg2 5-7,Ps 89,Pr 19:13-18,Lk 14:1-24
109,kg2 8-11,Ps 90,Pr 19:19-24,Lk 14:25-35
110,kg2 12; 13,Ps 91,Pr 19:25-29,Lk 15:1-10
111,kg2 14; 15,Ps 92,Pr 20:1-5,Lk 15:11-32
112,kg2 16-18:18,Ps 93:1-15,Pr 20:6-10,Lk 16
113,kg2 18:19-19:44,Ps 93:16-23,Pr 20:11-15,Lk 17:1-19
114,kg2 20; 21,Ps 94,Pr 20:16-20,Lk 17:20-37
115,kg2 22:1-23:7,Ps 95,Pr 20:21-25,Lk 18:1-17
116,kg2 23:8-24:25,Ps 96,Pr 21:1-5,Lk 18:18-43
117,kg3 1:1-2:25,Ps 97; 98,Pr 21:6-10,Lk 19:1-27
118,kg3 2:26-3:27,Ps 99; 100,Pr 21:11-15,Lk 19:28-48
119,kg3 4-6,Ps 101:1-15,Pr 21:16-20,Lk 20:1-26
120,kg3 7:1-8:52,Ps 101:16-29,Pr 21:21-25,Lk 20:27-47
121,kg3 8:53-10:33,Ps 102:1-12,Pr 21:26-30,Lk 21:1-19
122,kg3 11:1-12:25,Ps 102:13-22,Pr 22:1-5,Lk 21:20-38
123,kg3 12:26-13:34,Ps 103:1-18,Pr 22:6-10,Lk 22:1-23
124,kg3 14-16,Ps 103:19-35,Pr 22:11-15,Lk 22:24-46
125,kg3 17:1-19:9,Ps 104:1-15,Pr 22:16-20,Lk 22:47-71
127,kg3 21:23-22:50,Ps 104:28-45,Pr 22:27-31,Lk 23:26-56
128,kg4 1-3,Ps 105:1-15,Pr 23:1-5,Lk 24:1-35
129,kg4 4; 5,Ps 105:16-31,Pr 23:6-12,Lk 24:36-53
130,kg4 6:1-8:6,Ps 105:32-48,Pr 23:13-18,Jn 1:1-28
131,kg4 8:7-9:37,Ps 106:1-14,Pr 23:19-23,Jn 1:29-51
132,kg4 10; 11,Ps 106:15-30,Pr 23:24-27,Jn 2
133,kg4 12-14,Ps 106:31-43,Pr 23:28-32,Jn 3:1-21
134,kg4 15:1-17:23,Ps 107,Pr 23:33-36,Jn 3:22-36
135,kg4 17:24-18:37,Ps 108:1-20,Pr 24:1-6,Jn 4:1-26
136,kg4 19; 20,Ps 108:21-31,Pr 24:7-12,Jn 4:27-54
137,kg4 21:1-23:20,Ps 109; 110,Pr 24:13-18,Jn 5:1-15
138,kg4 23:21-25:30,Ps 111; 112,Pr 24:19-23,Jn 5:16-47
139,1Ch 1- 3,Ps 113:1-11,Pr 24:24-27,Jn 6:1-21
140,1Ch 4:1- 6:33,Ps 113:12-26,Pr 24:29-34,Jn 6:22-50
141,1Ch 6:34-8:40,Ps 114,Pr 24:35-39,Jn 6:51-71
